City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
161,lavrentiya,92,RU,1518760995,96,65.58,-170.99,26.6,36.42
162,arman,8,RU,1518759000,42,59.7,150.17,6.8,13.42
163,hami,80,CN,1518760996,60,42.84,93.51,33.89,9.24
164,conde,100,BR,1518760969,100,-11.81,-37.61,74.57,5.21
165,athabasca,36,CA,1518760996,69,54.72,-113.29,8.02,9.01
166,balapur,0,IN,1518760852,41,20.67,76.77,80.65,5.77
167,carnarvon,0,ZA,1518760997,80,-30.97,22.13,61.97,3.53
168,nemuro,40,JP,1518757200,45,43.32,145.57,26.6,8.05
169,pevek,0,RU,1518760998,72,69.7,170.27,-6.16,3.42
170,doha,90,QA,1518757200,93,25.29,51.53,64.4,2.24
171,eyl,24,SO,1518760999,89,7.98,49.82,75.97,16.28
172,puerto madryn,12,AR,1518760999,56,-42.77,-65.04,77.14,20.54
173,port blair,0,IN,1518761000,100,11.67,92.75,81.05,11.48
174,buala,56,SB,1518761000,88,-8.15,159.59,82.4,9.01
175,aras,0,YE,1518761001,27,14.28,44.38,58.78,3.42
176,bluff,12,AU,1518761002,47,-23.58,149.07,94.91,3.53
177,santa maria del oro,0,MX,1518761003,67,25.95,-105.37,48.43,3.42
178,dar es salaam,80,TZ,1518761003,87,-6.81,39.28,79.7,9.13
179,pacific grove,1,US,1518759300,48,36.62,-121.92,48.2,3.65
180,semirom,0,IR,1518761004,52,31.41,51.57,50.68,5.77
181,ketchikan,90,US,1518758520,100,55.34,-131.65,35.6,10.69
182,charters towers,8,AU,1518761005,69,-20.07,146.27,91.18,4.99
183,trincomalee,64,LK,1518761005,77,8.58,81.23,82.31,11.59
184,durban,90,FR,1518759000,87,43.54,0.58,50.0,5.82
185,dhandhuka,0,IN,1518761006,64,22.38,71.98,78.58,4.88
186,yarmouth,0,GB,1518760200,100,50.71,-1.5,33.8,7.78
187,klyuchi,80,RU,1518761007,85,52.25,79.17,9.32,7.23
188,mareeba,75,AU,1518759000,74,-16.99,145.42,87.8,8.05
189,la libertad,90,PE,1518757200,100,-16.38,-71.56,55.4,2.08
190,dabakala,0,CI,1518761008,40,8.36,-4.43,68.32,5.55
191,avarua,75,CK,1518757200,94,-21.21,-159.78,77.0,10.29
192,chandler,75,US,1518757080,82,33.31,-111.84,59.0,2.42
193,birjand,0,IR,1518757200,29,32.86,59.22,48.2,6.93
194,marrakesh,0,MA,1518759000,71,31.63,-7.99,51.8,3.36
195,pavino,40,RU,1518759000,77,55.02,82.61,-2.21,8.95
196,bangolo,0,CI,1518761010,86,7.01,-7.49,72.19,3.2
197,chokurdakh,76,RU,1518761011,72,70.62,147.9,-5.89,14.05
198,aitape,64,PG,1518761011,86,-3.15,142.36,84.52,14.27
199,kiama,75,AU,1518757200,57,-34.67,150.86,75.2,16.11
200,yurla,36,RU,1518761012,63,59.33,54.32,3.92,3.76
201,esperance,75,TT,1518757200,73,10.24,-61.45,75.2,6.93
202,saldanha,76,PT,1518761013,97,41.42,-6.55,46.45,3.2
203,arlit,0,NE,1518761013,53,18.74,7.39,51.35,9.01
204,eskisehir,75,TR,1518756600,93,39.78,30.52,39.2,8.05
205,mount isa,80,AU,1518759000,12,-20.73,139.49,104.0,14.99
206,kaka,8,TM,1518761014,84,37.35,59.62,41.14,3.42
207,souillac,90,FR,1518759000,93,45.6,-0.6,50.0,4.7
208,talen,0,IN,1518761015,48,23.57,76.72,78.35,4.43
209,rio gallegos,90,AR,1518757200,58,-51.62,-69.22,55.4,4.7
210,concepcion,0,CO,1518761016,61,9.56,-73.66,79.75,4.21
211,kawalu,36,ID,1518761017,72,-7.38,108.21,78.58,1.63
212,monastyrshchina,92,RU,1518761017,89,54.35,31.84,20.89,9.13
213,brisbane,75,AU,1518759000,78,-27.47,153.02,87.8,17.22
214,port augusta,0,AU,1518757200,41,-32.49,137.76,78.8,14.99
215,gurjaani,24,GE,1518761019,91,41.75,45.79,31.78,0.74
216,kensington,90,CA,1518757200,97,46.44,-63.64,33.8,8.05
217,tecoanapa,5,MX,1518756360,83,16.99,-99.26,77.0,3.36
218,moose factory,75,CA,1518757200,83,51.26,-80.61,-13.01,4.7
219,pyapon,8,MM,1518761020,42,16.29,95.68,90.37,10.36
220,kodiak,90,US,1518760380,74,39.95,-94.76,33.8,17.22
221,khilok,0,RU,1518761021,39,51.36,110.46,8.47,3.76
